DiseaseName_norm,DrugBankID,Source
atherosclerosis,DB00920,gene_target
atherosclerosis,DB00950,gene_target
atherosclerosis,DB00967,gene_target
atherosclerosis,DB00972,gene_target
atherosclerosis,DB00985,gene_target
atherosclerosis,DB01069,gene_target
atherosclerosis,DB01075,gene_target
atherosclerosis,DB01084,gene_target
atherosclerosis,DB01106,gene_target
atherosclerosis,DB01114,gene_target
atherosclerosis,DB01142,gene_target
atherosclerosis,DB01146,gene_target
atherosclerosis,DB01173,gene_target
atherosclerosis,DB01176,gene_target
atherosclerosis,DB01237,gene_target
atherosclerosis,DB01239,gene_target
atherosclerosis,DB01246,gene_target
atherosclerosis,DB01619,gene_target
atherosclerosis,DB01620,gene_target
atherosclerosis,DB04837,gene_target
atherosclerosis,DB04890,gene_target
atherosclerosis,DB05381,gene_target
atherosclerosis,DB06282,gene_target
atherosclerosis,DB06691,gene_target
atherosclerosis,DB06698,gene_target
atherosclerosis,DB06766,gene_target
atherosclerosis,DB08799,gene_target
atherosclerosis,DB08801,gene_target
atherosclerosis,DB08936,gene_target
atherosclerosis,DB09167,gene_target
atherosclerosis,DB09195,gene_target
atherosclerosis,DB09488,gene_target
atherosclerosis,DB09555,gene_target
atherosclerosis,DB11235,gene_target
atherosclerosis,DB11591,gene_target
atherosclerosis,DB11614,gene_target
atherosclerosis,DB12523,gene_target
atherosclerosis,DB12877,gene_target
